chrom	length	bases	mean	min	max
TE_00000816#DNA/DTT	2678	9367	3.50	0	20
TE_00000817#DNA/Helitron	14136	2481890	175.57	0	2069
TE_00000818#DNA/DTC	4572	35983	7.87	0	61
TE_00000819#DNA/DTT	1590	7781	4.89	0	78
TE_00000820#DNA/DTC	3676	81386	22.14	0	68
TE_00000821#DNA/Helitron	2275	18439	8.11	0	42
TE_00000822#DNA/DTC	467	1111	2.38	0	4
TE_00000823#DNA/DTT	2141	11880	5.55	0	51
TE_00000824#DNA/DTT	1822	6368	3.50	0	20
TE_00000825#DNA/DTT	668	886	1.33	0	3
TE_00000826#DNA/DTT	3249	684882	210.80	0	3779
TE_00000827#DNA/DTT	655	3944	6.02	0	21
TE_00000828#DNA/Helitron	2940	321494	109.35	0	1288
TE_00000829#DNA/Helitron	17241	82406	4.78	0	69
TE_00000830#DNA/Helitron	2977	15502	5.21	0	18
TE_00000831#DNA/DTT	751	2226	2.96	1	12
TE_00000832#DNA/DTT	2159	82691	38.30	0	330
TE_00000833#DNA/DTT	3458	28580	8.26	0	63
TE_00000834#DNA/DTT	2066	22434	10.86	0	119
TE_00000835#DNA/DTT	504	10222	20.28	0	92
TE_00000836#DNA/DTM	342	3673	10.74	2	17
TE_00000837#DNA/DTT	2726	23544	8.64	0	418
TE_00000838#DNA/DTM	2447	25665	10.49	0	79
TE_00000839#DNA/DTM	1015	12047	11.87	0	40
TE_00000840#DNA/DTC	1356	12275	9.05	0	71
TE_00000841#DNA/DTM	989	13851	14.01	1	33
TE_00000842#DNA/DTT	786	2471	3.14	0	39
TE_00000843#DNA/DTM	3480	43550	12.51	0	75
TE_00000844#DNA/DTT	656	3859	5.88	0	56
TE_00000845#DNA/DTT	2878	11106	3.86	0	148
TE_00000846#DNA/Helitron	11906	18380047	1543.76	0	12098
TE_00000847#DNA/DTT	1347	4827	3.58	0	44
TE_00000848#DNA/DTT	3258	89754	27.55	0	293
TE_00000849#DNA/Helitron	15083	118522	7.86	0	122
TE_00000850#MITE/DTC	241	544	2.26	0	5
TE_00000851#DNA/Helitron	4540	2936731	646.86	0	8087
TE_00000852#DNA/DTC	2191	11484	5.24	0	65
TE_00000853#DNA/DTT	725	5602	7.73	1	23
TE_00000854#DNA/Helitron	10267	283242	27.59	0	577
TE_00000855#DNA/DTH	869	20752	23.88	1	303
TE_00000856#DNA/Helitron	8333	92744	11.13	0	192
TE_00000857#DNA/DTT	1357	8256	6.08	0	49
TE_00000858#DNA/DTM	965	7614	7.89	0	33
TE_00000859#DNA/DTT	1367	19223	14.06	0	106
TE_00000860#DNA/DTH	782	48744	62.33	0	244
TE_00000861#DNA/DTH	1030	8848	8.59	0	85
TE_00000862#DNA/DTT	1894	4763	2.51	0	22
TE_00000863#DNA/DTT	3362	15933	4.74	0	37
TE_00000864#DNA/DTH	3066	13036	4.25	0	14
TE_00000865#DNA/Helitron	1585	18280	11.53	0	162
TE_00000866#DNA/Helitron	3425	16508	4.82	0	16
TE_00000867#DNA/DTM	895	18011	20.12	0	70
TE_00000868#DNA/Helitron	2660	54075	20.33	2	156
TE_00000869#DNA/DTC	1876	5534	2.95	0	6
TE_00000870#DNA/DTT	1389	3527	2.54	0	9
TE_00000871#DNA/DTT	1353	5223	3.86	0	26
TE_00000872#DNA/DTT	3420	11986	3.50	0	32
TE_00000873#DNA/Helitron	2056	6039	2.94	0	6
TE_00000874#DNA/DTT	3002	8280	2.76	0	18
TE_00000875#DNA/Helitron	5222	139446	26.70	0	739
TE_00000876#DNA/Helitron	11931	106101	8.89	0	95
TE_00000877#DNA/Helitron	11762	566676	48.18	0	152
TE_00000878#DNA/DTC	3425	404669	118.15	0	677
TE_00000879#DNA/Helitron	2765	34731	12.56	0	92
TE_00000880#DNA/DTT	1015	13399	13.20	0	63
TE_00000881#DNA/DTT	2433	5917	2.43	0	16
TE_00000882#DNA/DTC	3146	262311	83.38	1	623
TE_00000883#DNA/DTH	1038	10176	9.80	2	26
TE_00000884#DNA/DTC	3728	73429	19.70	2	106
TE_00000885#DNA/DTT	3598	1631856	453.55	0	3507
TE_00000886#DNA/Helitron	3707	30905	8.34	0	244
TE_00000887#DNA/DTC	3181	49565	15.58	0	123
TE_00000888#DNA/DTT	657	182359	277.56	0	1308
TE_00000889#DNA/DTC	1305	85831	65.77	0	233
TE_00000890#DNA/Helitron	1737	24046	13.84	1	117
TE_00000891#DNA/DTC	4137	325375	78.65	1	767
TE_00000892#DNA/DTT	3427	9359	2.73	0	21
TE_00000893#DNA/DTT	1317	25284	19.20	0	93
TE_00000894#DNA/DTC	3142	59740	19.01	2	82
TE_00000895#DNA/DTT	2537	13532	5.33	0	83
TE_00000896#DNA/DTC	2622	801582	305.71	2	1070
TE_00000897#DNA/DTT	1149	3344	2.91	0	8
TE_00000898#DNA/DTT	1172	6323	5.40	0	42
TE_00000899#DNA/DTC	1799	3567748	1983.18	67	3388
TE_00000900#DNA/DTC	3075	24589	8.00	0	34
TE_00000901#DNA/DTT	1272	7878	6.19	0	76
TE_00000902#DNA/Helitron	6393	9535788	1491.60	0	16594
TE_00000903#DNA/Helitron	732	3213	4.39	0	25
TE_00000904#DNA/Helitron	3158	501001	158.65	0	1885
TE_00000905#DNA/Helitron	3048	335914	110.21	0	1793
TE_00000906#DNA/DTH	911	23781	26.10	1	175
TE_00000907#DNA/DTC	3484	83889	24.08	0	65
TE_00000908#DNA/DTT	1239	6781	5.47	1	67
TE_00000909#DNA/DTT	1595	10473	6.57	0	89
TE_00000910#DNA/Helitron	3822	19994	5.23	0	25
TE_00000911#DNA/DTM	2534	43695	17.24	0	158
TE_00000912_INT#LTR/Gypsy	5268	2160345	410.09	0	2619
TE_00000913#DNA/Helitron	10750	169353	15.75	0	169
TE_00000914#DNA/DTT	1203	3112	2.59	0	7
TE_00000915#DNA/DTT	2473	114157	46.16	0	604
TE_00000916#DNA/DTC	3104	57013	18.37	0	98
TE_00000917#DNA/DTT	898	2852	3.18	0	8
TE_00000918#DNA/DTT	1823	8046	4.41	0	10
TE_00000919#DNA/Helitron	11575	99230	8.57	0	191
TE_00000920#DNA/Helitron	7307	59794	8.18	0	42
TE_00000921#DNA/DTT	3184	14698	4.62	0	36
TE_00000922#DNA/DTT	2938	6837	2.33	0	18
TE_00000923#DNA/Helitron	4617	520933	112.83	0	924
TE_00000924#DNA/DTC	3777	454219	120.26	1	543
TE_00000925#DNA/DTT	1438	5305	3.69	0	19
TE_00000926#DNA/DTH	2345	12048	5.14	0	20
TE_00000927#DNA/DTT	1882	5419	2.88	0	13
TE_00000928#DNA/Helitron	14972	86899	5.80	0	1008
TE_00000929#DNA/Helitron	12610	586105	46.48	0	542
TE_00000930#DNA/DTT	3973	21886	5.51	0	54
TE_00000931#DNA/DTT	3839	58006	15.11	0	239
TE_00000932#DNA/DTT	1716	11835	6.90	0	32
TE_00000933#DNA/Helitron	4023	37453	9.31	0	124
TE_00000934#DNA/DTT	1288	4462	3.46	0	14
TE_00000935#DNA/DTT	2227	1179904	529.82	0	2134
TE_00000936#DNA/DTM	989	12236	12.37	1	36
TE_00000937#DNA/Helitron	1701	9123	5.36	0	41
TE_00000938#DNA/Helitron	7828	92740	11.85	0	130
TE_00000939#DNA/DTM	791	4307	5.45	0	62
TE_00000940#DNA/DTT	1465	4414	3.01	0	12
TE_00000941#DNA/DTT	1645	182529	110.96	0	1792
TE_00000942#DNA/DTT	875	2406	2.75	0	17
TE_00000943#DNA/DTT	1737	5303	3.05	0	12
TE_00000944#DNA/DTC	2381	17695	7.43	0	47
TE_00000945#DNA/DTC	2753	8519	3.09	0	14
TE_00000946#DNA/DTT	872	43765	50.19	0	433
TE_00000947#DNA/DTT	3436	17307	5.04	0	44
TE_00000948#DNA/DTT	3370	3928461	1165.72	1	3718
TE_00000949#DNA/DTT	1789	27524	15.39	0	169
TE_00000950#DNA/DTT	889	6174	6.94	0	105
TE_00000951#DNA/Helitron	2982	160522	53.83	0	1098
TE_00000952#DNA/DTT	1968	5848	2.97	0	11
TE_00000953#DNA/DTT	2943	180033	61.17	0	775
TE_00000954#DNA/DTC	2757	60014	21.77	1	81
TE_00000955#DNA/DTH	1495	15847	10.60	0	29
TE_00000956#DNA/DTT	919	7864	8.56	0	35
TE_00000957#DNA/DTT	1223	3932	3.22	0	18
TE_00000958#DNA/DTT	2311	7278	3.15	0	44
TE_00000959#DNA/DTT	1417	78807	55.62	0	589
TE_00000960#DNA/DTT	2190	9187	4.19	0	33
TE_00000961#DNA/DTT	2797	71258	25.48	0	339
TE_00000962#DNA/DTT	3481	29977	8.61	0	95
TE_00000963#DNA/DTT	1900	7359	3.87	0	29
TE_00000964#DNA/DTT	2097	15888	7.58	0	140
TE_00000965#DNA/Helitron	10577	130026	12.29	0	178
TE_00000966#DNA/DTT	3015	9578	3.18	0	33
TE_00000967#DNA/DTT	1886	8459	4.49	0	35
TE_00000968#DNA/DTT	767	20562	26.81	1	143
TE_00000969#DNA/DTC	2988	39305	13.15	0	62
TE_00000970#DNA/DTT	439	2194	5.00	0	26
TE_00000971#DNA/DTT	3658	12498	3.42	0	11
TE_00000972#DNA/DTT	4316	19020	4.41	0	31
TE_00000973#DNA/DTC	3346	97128	29.03	0	251
TE_00000974#DNA/Helitron	5061	235647	46.56	2	154
TE_00000975#DNA/DTT	1245	13556	10.89	0	67
TE_00000976#DNA/DTM	761	4275	5.62	0	21
TE_00000977#DNA/DTT	3196	13132	4.11	0	60
TE_00000978#DNA/DTM	1024	6207	6.06	2	17
TE_00000979#DNA/DTH	4399	17424	3.96	0	108
TE_00000980#DNA/Helitron	5112	96569	18.89	0	190
TE_00000981#DNA/Helitron	9109	358313	39.34	0	552
TE_00000982#DNA/DTT	2671	9338	3.50	0	29
TE_00000983#DNA/DTT	3410	26399	7.74	0	286
TE_00000984#DNA/DTC	4367	168795	38.65	1	126
TE_00000985#DNA/DTT	1116	4696	4.21	0	33
TE_00000986#DNA/DTH	2629	74194	28.22	0	193
TE_00000987#DNA/DTM	1382	2036773	1473.79	0	2461
TE_00000988#DNA/DTM	3445	50271	14.59	0	208
TE_00000989#DNA/DTC	4240	135333	31.92	1	100
TE_00000990#DNA/DTT	3164	16765	5.30	0	64
TE_00000991#DNA/Helitron	7595	20725715	2728.86	0	22198
TE_00000992#DNA/DTH	3744	26980	7.21	1	35
TE_00000993#DNA/DTM	744	6471	8.70	0	82
TE_00000994#DNA/Helitron	7986	26325	3.30	0	102
TE_00000995#DNA/DTT	788	66141	83.94	0	619
TE_00000996#DNA/DTM	1499	5582	3.72	0	15
TE_00000997#DNA/DTT	1213	3825	3.15	0	16
TE_00000998#DNA/DTT	1613	16455	10.20	0	157
TE_00000999#DNA/DTT	2226	172035	77.28	0	616
TE_00001000#DNA/DTT	2466	9003	3.65	0	13
TE_00001001#DNA/Helitron	775	3505	4.52	1	17
TE_00001002#DNA/DTT	1334	2688	2.01	0	9
TE_00001003#DNA/Helitron	6495	135762	20.90	0	121
TE_00001004#DNA/DTT	1784	4659	2.61	0	8
TE_00001005#DNA/DTT	1385	7162	5.17	0	41
TE_00001006#DNA/DTC	3646	616512	169.09	0	611
TE_00001007#DNA/DTT	3550	63855	17.99	0	389
TE_00001008#DNA/DTT	467	5585	11.96	0	74
TE_00001009#DNA/Helitron	17371	1331892	76.67	0	928
TE_00001010#DNA/DTM	295	2168	7.35	3	13
TE_00001011#DNA/DTT	3616	19376	5.36	0	43
TE_00001012#DNA/Helitron	1536	17480	11.38	0	45
TE_00001013#DNA/DTC	2487	11498	4.62	0	18
TE_00001014#DNA/Helitron	6809	151808	22.30	0	532
TE_00001015#DNA/Helitron	7716	74952	9.71	0	192
TE_00001016#DNA/DTT	2867	6421	2.24	0	34
TE_00001017#DNA/DTT	3041	11112	3.65	0	61
TE_00001018#DNA/DTT	1608	5348	3.33	0	12
TE_00001019#DNA/Helitron	15208	21783896	1432.40	0	8129
TE_00001020#DNA/DTT	983	2759	2.81	0	11
TE_00001021#DNA/DTT	809	5084	6.28	0	67
TE_00001022#DNA/Helitron	10517	116602	11.09	0	168
TE_00001023#DNA/DTT	3010	7197	2.39	0	16
TE_00001024#DNA/DTT	2009	7548	3.76	0	17
TE_00001025#DNA/DTH	980	74223	75.74	1	243
TE_00001026#DNA/DTT	3075	44688	14.53	0	140
TE_00001027#DNA/DTT	2584	355955	137.75	0	3401
TE_00001028#DNA/DTT	637	37638	59.09	0	168
TE_00001029#DNA/DTT	1876	6568	3.50	0	81
TE_00001030#DNA/DTT	1956	7205	3.68	0	14
TE_00001031#DNA/DTT	2008	6836	3.40	0	23
TE_00001032#DNA/Helitron	11548	23517878	2036.53	0	15759
TE_00001033#DNA/DTT	3437	374457	108.95	0	2416
TE_00001034#MITE/DTT	210	889	4.23	0	13
TE_00001035#DNA/DTT	3894	56059	14.40	0	195
TE_00001036#DNA/DTT	1111	8490	7.64	0	74
TE_00001037#DNA/DTT	2204	68440	31.05	0	274
TE_00001038#DNA/DTT	445	485	1.09	0	2
TE_00001039#DNA/DTT	3141	16338	5.20	0	216
TE_00001040#DNA/DTT	1873	49259	26.30	4	56
TE_00001041#DNA/DTT	2228	276694	124.19	0	744
TE_00001042#DNA/DTT	927	28384	30.62	0	605
TE_00001043#DNA/Helitron	11913	222291	18.66	0	267
TE_00001044#DNA/DTM	2570	16711	6.50	0	17
TE_00001045#DNA/Helitron	7909	37941	4.80	0	47
TE_00001046#DNA/DTC	2811	34022	12.10	0	199
TE_00001047#DNA/DTT	1806	6981	3.87	0	24
TE_00001048#DNA/DTM	953	3872	4.06	0	37
TE_00001049#DNA/Helitron	9001	911856	101.31	0	300
TE_00001050#DNA/DTT	2558	154811	60.52	0	788
TE_00001051#DNA/DTC	3172	265306	83.64	2	1645
TE_00001052#DNA/DTT	1529	6688	4.37	0	32
TE_00001053#DNA/Helitron	10691	256167	23.96	0	279
TE_00001054#DNA/Helitron	13475	410218	30.44	0	242
TE_00001055#DNA/DTT	2211	52442	23.72	0	224
TE_00001056#DNA/DTC	2815	132349	47.02	5	573
TE_00001057#DNA/Helitron	8094	125654	15.52	0	342
TE_00001058#DNA/Helitron	2623	31202	11.90	0	51
TE_00001059#DNA/Helitron	3103	22942	7.39	1	53
TE_00001060#DNA/DTT	3484	15363	4.41	0	14
TE_00001061#DNA/DTC	1608	44938	27.95	2	54
TE_00001062#DNA/DTM	1122	19310	17.21	3	61
TE_00001063#DNA/DTT	1604	5346	3.33	0	24
TE_00001064#DNA/DTT	2602	13704	5.27	0	85
TE_00001065#DNA/Helitron	11590	199401	17.20	0	415
TE_00001066#DNA/DTT	2287	7153	3.13	0	8
TE_00001067#DNA/Helitron	4292	108286	25.23	0	61
TE_00001068#DNA/Helitron	6129	31752	5.18	0	54
TE_00001069#DNA/Helitron	9826	22409654	2280.65	0	15961
TE_00001070#DNA/DTT	1326	87897	66.29	0	348
TE_00001071#DNA/Helitron	6733	79235	11.77	0	162
TE_00001072#DNA/DTC	3877	57601	14.86	0	62
TE_00001073#DNA/DTT	2926	12902	4.41	0	41
TE_00001074#DNA/DTT	3003	12212	4.07	0	78
TE_00001075#DNA/DTT	994	3105	3.12	0	8
TE_00001076#DNA/Helitron	6039	24641	4.08	0	64
TE_00001077#DNA/Helitron	1127	600140	532.51	1	3023
TE_00001078#DNA/DTT	3653	10931	2.99	0	15
TE_00001079#DNA/DTM	1046	2383	2.28	0	13
TE_00001080#DNA/Helitron	8720	228290	26.18	0	550
TE_00001081#DNA/Helitron	10083	149095	14.79	0	360
TE_00001082#DNA/Helitron	10551	127935	12.13	0	336
TE_00001083#DNA/DTM	2486	20478	8.24	0	39
TE_00001084#DNA/DTT	1122	6427	5.73	0	51
TE_00001085#DNA/Helitron	4838	22387	4.63	0	74
TE_00001086#DNA/DTC	3805	13116	3.45	0	15
TE_00001087#DNA/DTT	1907	36120	18.94	0	337
TE_00001088#DNA/Helitron	6720	163738	24.37	0	300
TE_00001089#DNA/DTT	3631	36937	10.17	0	238
TE_00001090#DNA/DTT	2913	11813	4.06	0	38
TE_00001091#DNA/DTT	2618	40912	15.63	3	31
TE_00001092#DNA/Helitron	9523	117812	12.37	0	453
TE_00001093#DNA/Helitron	5412	696512	128.70	0	2848
TE_00001094#DNA/Helitron	9597	67767	7.06	0	200
TE_00001095#DNA/Helitron	12745	64488	5.06	0	48
TE_00001096#DNA/DTM	2424	213811	88.21	0	212
TE_00001097#DNA/DTT	2544	81514	32.04	0	498
TE_00001098#DNA/DTT	2369	15501	6.54	0	84
TE_00001099#DNA/DTM	1288	19661	15.26	3	41
TE_00001100#DNA/DTH	908	68152	75.06	3	187
TE_00001101#DNA/DTM	464	20640	44.48	2	90
TE_00001102#DNA/Helitron	2763	19587	7.09	0	175
TE_00001103#DNA/DTT	2766	19700	7.12	0	69
TE_00001104#DNA/DTC	4119	32464	7.88	0	56
TE_00001105#DNA/Helitron	13371	555007	41.51	0	467
TE_00001106#DNA/DTT	700	2342	3.35	0	36
TE_00001107#DNA/DTT	4145	34018	8.21	0	117
TE_00001108#DNA/Helitron	9707	210987	21.74	0	558
TE_00001109#DNA/DTC	4009	129192	32.23	2	92
TE_00001110#DNA/DTC	1975	45991	23.29	0	82
TE_00001111#DNA/DTM	3069	26825	8.74	0	66
TE_00001112#DNA/DTT	870	3874	4.45	0	46
TE_00001113#DNA/Helitron	1958	15844	8.09	0	56
TE_00001114#DNA/DTM	1137	40049	35.22	0	134
TE_00001115#DNA/DTT	2130	39481	18.54	0	234
TE_00001116#DNA/DTT	1798	8619	4.79	0	27
TE_00001117#DNA/Helitron	12627	252912	20.03	0	411
TE_00001118#DNA/DTT	2607	35583	13.65	0	124
TE_00001119#DNA/Helitron	10594	119182	11.25	0	91
TE_00001120#DNA/DTC	3747	146969	39.22	0	123
TE_00001121#DNA/DTT	1889	16418	8.69	0	381
TE_00001122#DNA/Helitron	8100	239863	29.61	0	536
TE_00001123#DNA/DTH	991	15561	15.70	0	31
TE_00001124#DNA/DTH	2972	101322	34.09	3	159
TE_00001125#DNA/DTT	1067	10046	9.42	0	21
TE_00001126#DNA/DTT	3705	32231	8.70	0	117
TE_00001127#DNA/DTT	889	10950	12.32	0	422
TE_00001128#DNA/DTC	2804	57803	20.61	0	99
TE_00001129#DNA/DTT	1795	8349	4.65	1	40
TE_00001130#DNA/DTT	1264	4563	3.61	0	11
TE_00001131#DNA/DTT	3476	45535	13.10	0	114
TE_00001132#DNA/DTM	3291	11313	3.44	0	38
TE_00001133#DNA/Helitron	10059	343463	34.14	0	2317
TE_00001134#DNA/Helitron	6208	88040	14.18	0	206
TE_00001135#DNA/Helitron	4627	28046	6.06	0	102
TE_00001136#DNA/Helitron	13773	90233	6.55	0	110
TE_00001137#DNA/DTT	1498	10231	6.83	0	54
TE_00001138#DNA/DTC	3218	28346	8.81	0	33
TE_00001139#DNA/DTT	1133	4830	4.26	0	24
TE_00001140#DNA/DTT	1960	108994	55.61	0	266
TE_00001141#DNA/Helitron	6929	45351	6.55	0	124
TE_00001142#DNA/DTT	342	1239	3.62	0	17
TE_00001143#DNA/Helitron	4652	42585	9.15	0	292
TE_00001144#DNA/DTT	1722	44541	25.87	0	162
TE_00001145#DNA/DTT	3804	255320	67.12	0	596
TE_00001146#DNA/DTT	2375	11901	5.01	0	45
TE_00001147#DNA/DTM	1733	15918	9.19	0	26
TE_00001148#DNA/Helitron	5986	39714	6.63	0	182
TE_00001149#DNA/DTT	2261	12379	5.48	0	85
TE_00001150#DNA/Helitron	5274	111645	21.17	0	439
TE_00001151#DNA/DTT	682	4407	6.46	0	137
TE_00001152#DNA/DTM	1177	5985	5.08	0	142
TE_00001153#DNA/Helitron	4791	137222	28.64	0	304
TE_00001154_INT#LTR/Gypsy	243	903224	3716.97	0	4660
TE_00001155_LTR#LTR/Gypsy	481	2293323	4767.82	1010	9229
TE_00001156#DNA/DTM	717	13995	19.52	0	112
TE_00001157#DNA/Helitron	5754	203444	35.36	0	384
TE_00001158_INT#LTR/Gypsy	204	5095	24.98	1	50
TE_00001159#MITE/DTA	200	257	1.28	0	3
TE_00001160_LTR#LTR/Gypsy	99	14284	144.28	19	239
TE_00001161_INT#LTR/Gypsy	530	31537	59.50	1	187
TE_00001162_INT#LTR/Gypsy	4072	3625188	890.27	0	7120
TE_00001163#DNA/Helitron	6749	20981009	3108.76	0	23437
TE_00001166_INT#LTR/Gypsy	1114	878462	788.57	5	2825
TE_00001167#DNA/DTH	2160	44202	20.46	0	188
TE_00001168_INT#LTR/Gypsy	5427	204081	37.60	0	127
TE_00001169#DNA/DTT	1248	2318	1.86	0	10
TE_00001170_LTR#LTR/Copia	2846	13267838	4661.92	46	6438
TE_00001171#DNA/DTC	1120	11600	10.36	0	31
TE_00001172#DNA/Helitron	1609	4436	2.76	0	13
TE_00001174#DNA/DTH	1465	963238	657.50	20	1304
TE_00001175_INT#LTR/Gypsy	258	35093	136.02	0	334
TE_00001176#MITE/DTA	162	1351	8.34	1	20
TE_00001177_LTR#LTR/Copia	538	20805	38.67	8	283
TE_00001178_INT#LTR/Copia	1938	433529	223.70	0	957
TE_00001179_INT#LTR/Gypsy	2114	2159271	1021.41	1	2445
TE_00001180_INT#LTR/Copia	4502	51944	11.54	1	28
TE_00001181#DNA/Helitron	2679	6394	2.39	0	9
TE_00001182_INT#LTR/Gypsy	1393	209096	150.10	2	298
TE_00001184#DNA/DTM	1669	19998	11.98	0	320
TE_00001185_INT#LTR/Gypsy	304	1592542	5238.62	56	8536
TE_00001186_INT#LTR/Gypsy	4545	16929424	3724.85	0	10975
TE_00001187#DNA/DTC	1121	40684	36.29	0	145
TE_00001190_LTR#LTR/Copia	205	8071	39.37	19	53
TE_00001191#DNA/DTM	2771	27231	9.83	0	167
TE_00001194#DNA/Helitron	376	454	1.21	0	5
TE_00001196_LTR#LTR/Copia	233	4006	17.19	3	27
TE_00001198#DNA/Helitron	9728	403788	41.51	0	619
TE_00001199#MITE/DTH	485	6619	13.65	7	17
TE_00001200#DNA/DTH	1112	5452	4.90	0	29
TE_00001201#MITE/DTT	246	27264	110.83	1	323
TE_00001202_INT#LTR/Gypsy	3632	1003476	276.29	23	1181
TE_00001203_INT#LTR/Gypsy	5085	4539609	892.75	0	3272
TE_00001204_INT#LTR/Gypsy	1207	583451	483.39	2	1591
TE_00001205_INT#LTR/Gypsy	1785	3770854	2112.52	0	7555
TE_00001206_INT#LTR/Gypsy	6153	4946432	803.91	5	3393
TE_00001207#DNA/DTT	3586	61357	17.11	0	38
TE_00001208_INT#LTR/Gypsy	2019	8599632	4259.35	32	11489
TE_00001209#DNA/DTM	338	5774	17.08	0	95
TE_00001210#MITE/DTT	129	2738	21.22	0	35
TE_00001211#DNA/Helitron	1650	18236	11.05	1	25
TE_00001212#MITE/DTA	546	61173	112.04	29	191
TE_00001213#DNA/DTH	1704	340363	199.74	16	417
TE_00001214_INT#LTR/Copia	1824	1481317	812.13	149	2240
TE_00001215_INT#LTR/Gypsy	2387	761037	318.83	0	1549
TE_00001216_INT#LTR/Copia	4481	59633	13.31	3	42
TE_00001218_INT#LTR/Gypsy	169	151527	896.61	0	1712
TE_00001219#DNA/Helitron	6067	19561975	3224.32	0	15200
TE_00001220_INT#LTR/Copia	294	2051	6.98	0	16
TE_00001221#MITE/DTM	167	661	3.96	1	9
TE_00001222#MITE/DTT	373	2251	6.03	1	26
TE_00001223#DNA/DTH	2091	940274	449.68	32	940
TE_00001224#DNA/DTH	819	17063	20.83	0	66
TE_00001225#DNA/Helitron	1444	8952	6.20	0	30
TE_00001226_INT#LTR/Copia	4886	363756	74.45	0	275
TE_00001227#MITE/DTT	453	210624	464.95	1	2047
TE_00001228#DNA/DTC	172	517	3.01	0	5
TE_00001229_INT#LTR/Gypsy	838	2926038	3491.69	0	12549
TE_00001230_INT#LTR/Gypsy	2628	176975	67.34	0	470
TE_00001232#DNA/Helitron	3192	54902	17.20	0	208
TE_00001233_INT#LTR/Copia	2532	675870	266.93	1	990
TE_00001234_INT#LTR/Gypsy	292	21965	75.22	0	173
TE_00001236#MITE/DTA	594	5492	9.25	3	18
TE_00001237#DNA/DTT	3133	101363	32.35	0	143
TE_00001238#DNA/DTA	767	3886	5.07	1	18
TE_00001239_INT#LTR/Gypsy	4052	23140	5.71	0	27
TE_00001240_INT#LTR/Gypsy	1020	2763111	2708.93	0	8063
TE_00001241#MITE/DTH	462	6435	13.93	6	22
TE_00001242_INT#LTR/Gypsy	391	119480	305.58	4	625
TE_00001243#DNA/DTM	788	272882	346.30	10	626
TE_00001245_INT#LTR/Copia	99	84	0.85	0	3
TE_00001247_LTR#LTR/Copia	211	15447	73.21	15	437
TE_00001248#DNA/DTH	683	5689	8.33	0	32
TE_00001249_INT#LTR/Copia	3626	1276847	352.14	0	800
TE_00001250_INT#LTR/Gypsy	2776	409995	147.69	0	870
TE_00001251#DNA/DTM	2345	4838	2.06	0	8
TE_00001252_LTR#LTR/Gypsy	3893	481998	123.81	1	413
TE_00001253_INT#LTR/Copia	1700	2118931	1246.43	222	1807
